url_address,title,content,serial_number,push_time,status,ans_content,ans_part,ans_time
http://www.gszwfw.gov.cn/gszw/zxts/detail.do?webid=1&code=JY20181201908&querycode=QC403857,工商审批,工商审批10多天没进展，不是说好一到2个工作日吗,JY20181201908,2018-12-17 09:39:47,处理中,,,
http://www.gszwfw.gov.cn/gszw/zxts/detail.do?webid=1&code=JY20181101761&querycode=QC385196,这个平台一出生就该退休了,甘肃处处落后，连网站也不例外。经济发展模式不好抄，照搬个网站来不是很费劲吧！竟然留言还要输验证码，而且是极度变形的验证码，明显不想让人输入嘛！,JY20181101761,2018-11-15 09:45:13,处理中,,,
http://www.gszwfw.gov.cn/gszw/zxts/detail.do?webid=1&code=JY20181101760&querycode=QC743411,教师职称评审政策建议,尊敬的领导：之前的教师职称评审政策都对班主任工作年限有不同的要求，这对例如音体美等小科目教师有失公平，因为专业特点我们很少有机会担当班主任，许多省都将辅导员和教练员视同于班主任，建议这次修改政策之际能，出台相关的附则，将学科活动辅导员或教练员工作年限视同于班主任工作年限，给我们以希望！恳请调查研究，解决实际为盼！,JY20181101760,2018-11-15 08:14:16,处理中,,,
http://www.gszwfw.gov.cn/gszw/zxts/detail.do?webid=1&code=JY20180901597&querycode=QC011629,政府采购合同备案可否网上办理,政府采购协议供货合同以前采用人工备案，到财政厅需要找三个部门办理签章手续，遇上办事人或签字领导不在，有时候备案合同要跑财政厅好几趟。今年备案手续有所精简，只到一个部门办理备案手续，但也有可能遇上人不在或其他情况，那就得至少跑两趟。建议可否纳入网上办理备案手续。,JY20180901597,2018-09-20 10:29:17,处理完毕,"网友：
     您好。您的留言我们已经收到，首先感谢您对政府采购工作的关心和支持，关于您建议政府采购协议供货合同是否可纳入网上办理备案手续的事情，现答复如下：
      一、2018年7月2日我厅印发了《甘肃省财政厅关于简化政府采购审核程序有关事项的通知》，对需要现场审核和备案的政府采购事项进行了流程简化，实现网上审核和备案。
      二、要求协议供货按现行规定执行，主要是因协议供货限额标准是按年度执行的，同时，政府采购网上交易系统也需进行升级改造，要实施网上备案流程办理只能在下一年度进行，预计从2019年1月1日起，协议供货将实现网上办理合同备案手续。
      感谢您对我们政府采购工作的关心和支持，同时也希望您多提宝贵意见和建议。
                                                                                                                                                                甘肃省财政厅
                                                                                                           2018年10月8日          ",省财政厅,2018-10-09 17:51:25
http://www.gszwfw.gov.cn/gszw/zxts/detail.do?webid=1&code=JY20180801543&querycode=QC118967,甘肃公安政务服务平台浏览器不兼容问题,为什么甘肃公安政务服务平台浏览器不兼容360浏览器，每次登陆甘肃政务服务网，打开其他所有专项服务都是正常的，唯独公安政务服务平台，要求更换浏览器，非常麻烦。,JY20180801543,2018-08-23 15:04:13,处理完毕,"网友：
     您好！8月23 日，您在甘肃政务服务网“我要建议”栏目留言，反映甘肃公安政务服务平台浏览器不兼容的问题，现答复如下：
      目前，我厅正在对甘肃公安政务服务平台进行优化升级，建议使用谷歌chrome或Internet Explorer10以上的Web浏览本站，对您带来的不便表示歉意。
      感谢您对我们工作的关心和支持，欢迎继续提出宝贵意见和建议。
                                                                                                      省公安厅
                                                                                                2018年9月6日",省公安厅,2018-09-03 18:27:03
http://www.gszwfw.gov.cn/gszw/zxts/detail.do?webid=1&code=JY20180801508&querycode=QC021866,个人社保,建议网上建立个人社保缴费明细查询系统，以便个人尽快随时可以了解个人社保缴费情况。,JY20180801508,2018-08-07 15:51:23,处理完毕,"网友：
    您好！您在甘肃政务服务网“我要建议”栏目留言，“个人社保 ”的问题，现答复如下：
    网友您好，甘肃省人力资源和社会保障网上办事大厅已于今年7月中旬开通了省本级、嘉峪关市、酒泉市、甘南自治州、天水市等五个统筹区个人社保信息查询，目前系统功能还在进一步完善中，由此带来的不便敬请您谅解。甘肃省人力资源和社会保障网上办事大厅网址为：http://www.gs12333.gov.cn
    感谢您对我们工作的支持，欢迎继续对我们的工作提出宝贵建议和意见。


                                                                甘肃省人力资源和社会保障厅
                                                                        2018年8月14日",省人社厅,2018-08-14 09:13:08
http://www.gszwfw.gov.cn/gszw/zxts/detail.do?webid=1&code=JY20180701497&querycode=QC983851,这个平台还需改进,这个平台非常好，就是还不方便，查个社保信息都查不了，这点需要改进，值得向江苏学习。人家的就很方便。,JY20180701497,2018-07-28 21:27:33,处理完毕,"网友：
     您好！您在甘肃政务服务网“我要建议”栏目留言，“这个平台还需改进”的问题，现答复如下：
     网友您好，甘肃省人力资源和社会保障网上办事大厅已于今年7月中旬开通了省本级、嘉峪关市、酒泉市、甘南自治州、天水市等五个统筹区个人社保信息查询，目前系统功能还在进一步完善中，由此带来的不便敬请您谅解。甘肃省人力资源和社会保障网上办事大厅网址为：http://www.gs12333.gov.cn
     感谢您对我们工作的支持，欢迎继续对我们的工作提出宝贵建议和意见。

                                                                 甘肃省人力资源和社会保障厅
                                                                         2018年8月9日
 ",省人社厅,2018-08-09 17:57:23
http://www.gszwfw.gov.cn/gszw/zxts/detail.do?webid=1&code=JY20180701458&querycode=QC341593,规章制度改进,工商注册核名中，审核通过的再过15天才能再改---这条不合理，建议改为：原申请人3天后可再更改对其他人有效期不变这样可以加快核名/办理速度,JY20180701458,2018-07-16 19:58:35,处理完毕," 网友：
     您好！ 您在甘肃政务服务网“我要建议”栏目留言，反映个体名称申请的问题，现答复如下：      
     工商登记机关是严格按照《企业名称登记管理规定》进行核准，并严格按照相关规定工作流程核准。 
     核准通过的名称保留期为15天。企业自主核名通过后，想修改名称可以自行删除后重新申报。     
     感谢您对我们工作的关心和支持，欢迎继续提出宝贵意见和建议。
                                                                                                                              省工商局
                                                                                                                           2018年8月2日",省工商局,2018-08-02 18:26:15
http://www.gszwfw.gov.cn/gszw/zxts/detail.do?webid=1&code=JY20180701450&querycode=QC383396,意见和建议,市上的龙头企业主管部门为企业有过多少服务？总是想办法设卡，应该改进了。每年年检要提交6个部门的证明。专人跑半个月都办不全，因为人家不认你们的指令啊。一个年检报告还必须精装装订，1次年检要2年的审计报告，企业就要多支付数万元。请学学工商、国地税、商务、发改、工信、检验检疫、海关商检、财政、银行、科技等等政府部门他们能够都简化程序，网上申报考核。想企业之所需，上门排忧解难为企业服务。企业特别感激高兴！近年来企业确实都面临许多困难和问题，需要帮扶解决。希望能够改进！,JY20180701450,2018-07-12 00:10:04,处理完毕,"庆阳市润慷食品有限公司：
您在甘肃政务服务网“我要建议”栏目提出的意见建议收悉，经我厅认真研究，现将有关情况答复如下：
一、关于龙头企业年检程序复杂，费用高的问题
（一）监测程序设置的依据。我省农业产业化龙头企业认定严格按照国家农业部、发改委等八部门印发的《国家重点龙头企业认定和运行监测管理办法》及省农牧厅、省发改委等9部门印发的《甘肃省农业产业化重点龙头企业认定管理暂行办法》执行，在监测认定上完全采取企业自愿，无强制要求。经认定的龙头企业每2年监测一次，目的是为了准确掌握企业生产经营现状，实现认定和退出机制相结合。目前，国内所有国家级、省级农业产业化龙头企业的认定监测，采用的方式和工作程序基本一致，均参照国家龙头企业认定监测方式，由企业向农业产业化主管部门提交相关证明原件，其中企业的资产和效益情况须经会计师事务所审定，企业资信情况以人民银行出具的企业征信报告为据，企业的带动能力、带动方式和利益联结关系情况由县以上农村经营管理部门提供说明，企业的纳税情况以企业所在地税务部门出具的证明为据，企业产品质量安全情况以所在地农业或其他法定监管部门提供书面证明为据，以保证龙头企业提供的数据和情况的真实性。在能否实行网上申报审核的问题上，我厅已多次向国家相关部门建议咨询。
（二）监测工作的机构设置。根据《甘肃省农业产业化重点龙头企业认定管理暂行办法》的规定，我省的农业产业化龙头企业监测由各级农业产业化办公室负责。农牧部门作为该工作的牵头部门，负责相关材料的审核，承办具体业务，各级发改、工信、税务、扶贫、商务、人民银行等部门作为农业产业化领导小组成员单位参与并协助本级龙头企业的认定和监测工作，开具证明说明情况等是各成员单位的工作职责。
（三）监测费用。农业产业化龙头企业认定、监测以及颁发证书、牌匾等不收取任何费用。农业产业化龙头企业具有表率作用，应当建立起较为完善的企业管理制度，包括财务审计制度。为方便材料审核，所有监测材料要装订整齐。
二、关于为龙头企业提供服务的问题
根据《甘肃省人民政府办公厅关于扶持全省贫困地区龙头企业发展的意见》，农业产业化龙头企业在企业融资、用地、用电、税收、科研、市场营销、人才建设等方面等都享有优惠。省农牧厅已将全省贫困地区1490家龙头企业(含庆阳市润慷食品有限公司)名称、地址、联系方式等情况提供省发改委，对农业产业化龙头企业“以2016年实际生产用电量为基数，对其新增生产用电量电价在现行基础上每千瓦时降低0.10元电价优惠”正在落实；1000亿元特色产业发展贷款和500亿元短期农产品收购贷款各地金融机构正在协调落实当中，龙头企业是受益对象；龙头企业用地、税收等优惠政策已经落实；对龙头企业带动贫困户和合作社发展等也将给予扶持。此外，省上已连续多年筹集专项资金，对带动能力突出、发展规模较大，经济和社会效益较好的省级以上龙头企业给予贴息扶持，部分市县也设有专项扶持措施。
据了解，庆阳市润慷食品有限公司是庆阳市市级农业产业化龙头企业，认定、监测均由庆阳市农业产业化部门组织管理，有关具体问题可向庆阳市咨询。
感谢您对我省农业产业化龙头企业的关心和关注。


省农牧厅  
2018年8月15日",省农牧厅,2018-08-16 10:50:11
http://www.gszwfw.gov.cn/gszw/zxts/detail.do?webid=1&code=JY20180601419&querycode=QC527704,对于兰州市人口增长战略及大学生购房、租赁补贴等政策的建议,一、从人口增长及引进人才角度讲 制定政策应考虑全面，避免产生隐患问题。要在留住人才和引进人才方面两手抓、两手都要硬。要留住那些毕业十余年，在兰工作奉献多年，经验丰富的大学生。以2006年为例，当时大学生月工资1000元，房价4千元/平米，多年来房价飞涨，这些大学生目前大都是单位工作的实干者和中坚力量，但仍然买不起房，心情失落！避免王三运时期失败的人才战略，导致流失的人才比引进的人才数量还多的问题。 二、从政策实效角度讲 制定政策应结合兰州实际，因地制宜。兰州较二线城市比，大学生的月工资低，房价高。对刚毕业的大学生应给予补助和鼓励租房相结合的政策，因为给予10-20万元的补助也很难买的起房；对工作多年的无房大学生可能就差这些补助加上房贷刚好买得起房。 三、从促进发展角度讲 制定政策应公平公正，避免一刀切。只要是无房的大学生都应该补助，资金多的多补，少的少补。 综上所述，建议有关主管部门出台大学生购房补助政策时，不分毕业年限，以学历学位和无房为主要条件，均给以好政策。对近年应届大学生给予租房或购房补助的好政策，对往届毕业生给予购房补助的好政策。请人社、房管、税务等部门统筹考虑以上政策，尽快出台相关政策，为新老大学生留兰提供条件。,JY20180601419,2018-06-21 10:32:19,处理完毕,"网友：
     您好！ 6月21 日，您在甘肃政务服务网“我要建议”栏目留言，反映对于兰州市人口增长战略级大学生购房、租赁补贴等政策有关建议的问题，现答复如下：
     近年，我市一直高度重视人才工作，在引进和留住人才上做了大量而卓有成效的工作，目前也正在通过多种方式积极开展此项工作。今年，市委人才办牵头起草了《全面加强人才工作的实施意见》，此《意见》着力破解我市人才管理体制和人才培养、引进、评价上存在的体制机制障碍，补齐发展短板，其中对大学生来兰、留兰住房补贴做了详细的规定。目前，此《意见》市政府常务会已审议通过，待市委常委会审议通过后即可印发执行。
      感谢您对我们工作的关心和支持，欢迎继续提出宝贵意见和建议！
                                                                                                                                     兰州市人社局
                                                                                         2018年7月5日",市人社局,2018-07-04 11:12:35
